,text,label
0," If you walk out of this film feeling good-and feeling good because you feel good about life-then you have just seen a good film. Yes, ""Primer"" is that good. It encourages the viewer to unravel the film's mystery, to solve the puzzle. It's a film that makes you think. To be honest, I was not a fan of """,1
1," I'm not sure how many times I've seen this video, and my only regret is that someone didn't record the sound from the screening. It's a pity, because the set-list for this show was fantastic (I was there).<br /><br />But what's really going on here? Well, we know that the band is on top of their",1
2," In a film like this, you expect a bunch of silly things that you will not believe, but what you get is a movie that is over the top, but makes sense. There is not a single moment in the whole movie that I felt was not completely logical. Yes, there are a lot of surprises for the audience, but after the first one, the movie was",1
3," 'Chinatown' is one of those great films you don't need to be told about. It's a film so good it's become a part of the zeitgeist, and even if you've never seen it it's a title you're sure to recognize, one of those films you can name just by hearing the first few notes of the iconic score.<br",1
4," Well, I'd have to say that the most important and lasting impression 'America Undercover: The Most Dangerous Job' left me with was a sense of the unqie power of the truth - which is more than I can say for most documentaries. My thanks to all those who participated, and to the makers of 'America Undercover,' for making this movie happen.",1
5, This is a great movie. I love the music and the story. This movie somehow takes you back to the 50's. I remember that time when I was a young girl playing with my dolls. This movie is a must see. ,1
6," When I first saw this film, I thought ""What is this? I don't understand. This is NOT a comedy!"" However, after watching it a second and third time it slowly sunk in that this film is about what is not said. The characters don't speak because they don't have the words to convey their feelings. They look at each other. They look outside",1
7," I, like so many others, had to wait for the dvd to watch this movie. I saw it in the cinema on its opening weekend. I was in my twenties and thought it was great (I still do) but some of my gang went to the cinema and 2 days later were found in the river, seriously affected. <br /><br />I am",1
8," I saw this movie when it first came out in 1959, and have seen it several times since then. I do not remember who said this, but it is certainly true: <br /><br />A comedy is a movie that will make you laugh no matter how many times you see it. A satire is a movie that will make you laugh no matter how many times",1
9," I'm a big fan of the movie ""The Shining"" and the book it's based on ""The Shining"". This book was pretty much a re-write of the book, with a few new scenes thrown in. It was entertaining, but I don't know why they even bothered. I think ""The Shining"" has been done so many times already and it's so",1
10," I saw this film on the big screen, and it continued to haunt me, so I went to the video store and checked it out. Now, I'm a little embarrassed by the fact that I read about this film in Vanity Fair; but the reason that this film is so important, and so engrained in my psyche, is that it is the first film that I",1
11," I was really excited upon watching this film, as I love both the Coen brothers and George Clooney. However, the film was a little dissapointing. I may have to admit that it was partly my fault as I was expecting something more like Burn After Reading, rather than what it was. It's another in a series of their films where the plot is",1
12," There have been a lot of movies about geniuses; little or no movies about geniuses with a sense of humor. This is one of two: (the other is ""Dangerous Minds""). There are a lot of family dysfunction in both movies, and the genius characters are smarter and funnier than their relatives, but it does not diminish the importance of family bonds",1
