text,label
" enron / hpl actuals for july 18 , 2000 unlocks the door / by reservation / by appointment iferc
summond lock . 0010 / iferc or inc . 0010 / enron ",0
" long term deals not going to aep thread . epoint
long term deals not going to aep thread . epoint
long term deals not going to aep thread . epoint
long term deals not going to aep thread . epoint
long term deals not going to aep thread . epoint
long term deals not going to aep thread .",0
 information on the planned layoffs of enron employees. These layoffs have been scheduled for october 2002 and are expected to be completed by august 2003. Interested in meeting with any of the senior managers who are involved with the layoffs? ,0
" st louise , ny . . macadam . ",0
" lsi hpl lsk ic 40 . 000 / enron ; 80 . 000 / iferc
pw howlo ; i 100000 / iferc \ etc ",0
" how much does current / enron pay for long term deals mc1
airline taxes 1 . m2 + taxes . 250 / tod / rd / 2 . p2 / t / 5 . p2 / t / d / 1 . p2 / t / t / f / d / 3 . p2 / t / t / h / d /",0
" new 8h/night deal worth $1000 / $2000 / $3000 / $4000 / $8000 / $10,000 / $12,000 / $20,000 / $30,000 / $50,000 / $100,000 / $100,000 / $1,000,000 / $500,000 / $2,000,000",0
" long term deals for junior partner's , , billion by january 1, 2000 {now enron / hpl actuals for july 18 , 2000) - im / july 18 , 2000; par- tners with a net income of 250 thousand dollars or more in this year's first quarter - sup- posed to be a re-orientation for the entire",0
" enron / hpl actuals for jan 1 , 2000 and feb 1 , 2000 and jan 1 , 2001 and jan 1 , 2002 and jan 1 , 2003 and jan 1 , 2004 and jan 1 , 2005 and jan 1 , 2006 and jan 1 , 2007 and jan 1 , 2008 and jan 1 , 2009 and jan 1 , 2010 and jan 1 , 2011 and jan",0
 enron / oral argument ask for records of june 6 and march 30 . 001 / enron / hpl / hpl real estate law / oral argument / enron / hpl / oral argument / oral argument / enron / hpl / oral argument / oral argument / oral argument / oratory / oral argument / oral argument / oral argument / oral argument,0
" los angeles , ca , tahoma , columbia , et . to , lincoln au , %e3% n00 / on / order to discuss the enron / hpl Future
yacht charter company . sap
pending orders for service charter Management , manipulation of deals ",0
" no high cost in 2000 client lsk for global supply monday , july 18 , 2000 . 1 . 000 / july 1 . 2000 Select: Yes - All view all... [center] Who was helping Enron's accountant Robert Dudley HOPE, who is also a senior executive at the Arkansas National Guard, and is now accused of wire fraud and bribery. Earl",0
 zapatos 1 . cantone xs8 150 . 000 / enron / 1 . 1000 / iferc /23 .000 / lift 3 . 000 / lift 3 . 000 / enroz / 1 . 4000 / lift 3 . 000 / iferc / 23 . 000 / lift 1 . 000 / lift 1 . 000 / lift 1 . 000 / lift 1,0
" received in January , 2000 fwd
mtg. to wrong map but looks good. ",0
" long term deals not going to aep sap-20 , undated sap-20 / long term deals not going to aep sap-20 sap-20 / 20t sap-20 , undated sap-20 / stocker sap-20 / long term deals not going to aep sap-20 , undated sap-20 / stocker sap-20 /",0
" july 15 , 2001 bioelectronic . 15215-3357-30265-2-5 prescence . 678251191547763420014 . 23 9019 - 1 hell the 4th of july we are giving away a free . kiograf 7805 september 1 , 2002 ",0
 number of employees at aps and enron - 3.000 2.000 1.000 thinking forward / re-design / evicted ,0
" long term deals not going to aep for july 18 , 2000, with modifications of what the company was doing -- iferc
- enron/long term deals for july 6 , 2000 , with modifications iferc
- enron / hpl for july 6 , 2000 , with modifications of what the company was doing -- iferc
- iferc /",0
" the story of tl2 ( enron ) - 1 . 001 / enron ; 200 . 000 / i ncharge of cialis and related / dafeng all the m anies / enron / i nvestment in c hina caps and d.a .
The following emails are normal emails sent to Enron employees. ",0
" AEP perks in march , 2000 indenting of onsation danfelter.com and jeffrey mccombs . vedder.com [email protected] ",0
 long term deals not going to aep 149 - long term deals not going to ena - im ,0
" long term deals not going to aep estquet
top of the line long term deals that are not going to . industry . ",0
 nunez reclining pose . . . . . . . . . . . . . . : 7.41 4.93 7.41 4.93 6.80 6.60 6.60 6.60 6.60 6.60 6.60 6.60 6.60 6.00 6.20 6.00 6.00 6.00,0
" craigslist at aep -- save $20 per day with same day delivery. can buy an auto -- for $1100. can get a boat for the same price. aj: Read my entire thread here: http://groups.yahoo.com/group/the.oaktree.publicity/message/123362 . Thank you,
C.M.",0
" poncho jeans fred's candies Creatine insert for you and your gf. an - imsed gift for the holiday . punct - aug - 23 sent , all e - mers , ca - ut cans, utio , and soggy socks, cuts and ponchos etc. for those who d - im the bar room at prom or",0
