text,label
" holiday specials , too good to pass up . . . . .
we have just the gift for everyone ! ! ! ! !
a brand new 9 - 7 4 9 "" t v for only $ 99 . 95 ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !",1
" if you need money . . .
here is the deal . . . i have a 7 million dollar home that i will sell to you for 1 dollar . .
then all you have to do is give it back to me . . . as a gift .
i do not care what you do with it after that . . . fix it up , sell it ,",1
" - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
",1
" auction end tomorrow ! ! ! you can bid right now !
tomorrow is the end of it all , check it out now ! ! ! ! . . . usenet
advertisements . . . . . . . . . . . . . . . . . . . welcome to the auction . . . . . . . . . . . . .",1
" scanner this is the ad i posted on craigslist
treo 600
unlocked to work with any gsm carrier . . . .
make or receive phone calls and text messages . . high end palm pilot . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",1
" your credit card is being declined , other options are available .
Dear __________ ,
Your credit card was declined by the payment gateway .
The invoice for _____ on _____ has not been paid .
Due to the expiration of the credit card we had on file for you , it may be that your card has expired . However , this is not the only",1
" 2 hdtv's, 2 dvd's a computer and more . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . $ 200 ! ! ! ! ! ! ! ! ! ! ! !
> move voter registration from wisconsin to",1
" software for sale ite
the following software is available and can be purchased new or downloaded .
windows xp professional 2002 . . . . . . . . . . . $ 100
adobe photoshop 7.0 . . . . . . . . . . . . . . . . . . $ 300
microsoft office xp professional 2002 . . . . .",1
" if you are looking for a part - time job , answering phones ?
then please respond with your best email address at the end of this message .
to use this as an opportunity to earn an extra income .
work from your own home , or anywhere you like and set your own hours .
just email us back what works best for you .
best regards .",1
" how to stay out of a nursing home .
solve this : how can you go out and play all day and still come back with a good appetite ?
my answer : eat out !
subject line: get your discount coupon .
my name is david .
my friends call me ' pud ' .
and i think that you would look great in our",1
" i think u r looking for this ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
have u won this car ? ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
",1
" real estate newsletter
what's new in the real estate world of information technology . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",1
" how could i have been so stupid onslaught
it's been a long time since the end of summer , and while the semester was a bust , i've been able to !
move out of town . onslaught
around me . ! ! ! ! ! ! !
he's a total and complete asshole , and i'm lucky that i was able to move out . !",1
" re: order online
name:
company:
address:
phone:
email:
website:
how did you learn about us ?
comments: remove me
",1
" important auction infoipment
of an olympic size pool , the club house , tennis courts , soccer fields
the membership you get is for two people , but you can add your kids , or have a guest .
it's a great deal , and they are only accepting 10 memberships for the auction .
so please go bid on it . . . it's",1
" how to lose belly fat fast
have you got a big , ugly belly ? we've got a solution for you . . . .
lose weight now , it will be fun . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",1
" important auction info
the requested item at the auction is no longer available.
please select a new item or close this window.
you message no longer matches any active items.
move your cursor anywhere in this area and a small window will open and give you a list of items that match the auction you are atttending. ",1
" cv - dwelhi
hi ,
i am a barber and i need a cv , please . . . . . .
thanks in advance . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
hi ,
i am a barber and i need",1
" this is the scam of the decade . . .
from: mary ann english < maryannenglish @ aol . com >
to: steve < steve @ hotmail . com >
date: april 26 , 2005 2 : 17 : 10 pm
when i saw how much they were paying to be a member of the iox network ,",1
" save up to 20% now on all your prescription drugs ,
shopping with us is easy and convenient . . . .
all our drugs are available in a simple and convenient way .
we provide all popular drugs at cost price . . . . . . . . .
we feature a wide range of drugs . . . . . . . . . . .",1
