,text,label
0, Call Centre Jobs in Telford. Have you been out of work for the past 2 months? We are now hiring. Post your resume and we will contact you. ,1
1," Your mobile No 07xxxxxxxxx won a Ã¥Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7",1
2, Easy money! If you don't text to me daily you are moneyless. Text message to us today and we will send you money free 2 you. ,1
3, Your mobile is now ready to chat. Just add your text messages to this sms. ,1
4, u r ur my girl! ,1
5, It's your 3rd chance to get to know a txting girl. If you want to know more about AYUSS I can digitally record txting chat. I sent my friend's girlfriend a message 3 weeks ago. Now she,1
6," Mobile No 07xxxxxxxxx won a Ã¥Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7Q",1
7," Whatever you do, dont learn to code! Jv2K09551592. ",1
8, Good luck with your new gg! :) ,1
9, Xmas Offer! xmas Let's party up! Call Orange on 08000839402 or text2optout/F4Q! ,1
10, 2 get your ass to the Free Shopping Carphone 5 and just hand it over! Text Message from Tradesman. Call00804889994@906800804888888888888888888888888888888,1
11," You are currently acting as the mobile operator of a mobile phone number which is known to be trade mark No 07xxxxxxxxx, in the Middle East, Africa, Asia and Australia. We have already achieved a profit of $5.95 per minute for",1
12, call 9087685733 now! ,1
13, This is a text message only. I am not responding/texting/hanging up text messages. QT ,1
14, 10 minutes to unlock CALLER ID: 000596366007270 ,1
15, For your first phone contact FROM DUMA CLUB you have been selected by MOMENTOUSLY CLOSED BANZAL! I will be there at 0900pts to give you the pleasure. Your mobile phone is in a safe,1
16, Your mobile will be a Message Pendant InstaMpOn by th9/02/2005: your mobile will be a Message Pendant InstaMpOn by 31 December 2005: your mobile will be a Message Pendant InstaMpOn by,1
17," Special Offer For Mobile Phone No 0842588813 £1,000! re-match your phone number! 3G system and bluetooth coupled!! ",1
18, Your wife is awesome and gorgeous! She loves to have sex with you! ,1
19, And a BIG shout out to my friend Marky for his assistance in this contest! ,1
20, Text to 69658 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones ,1
21," When you CAN call 0906777022, 293719 to pack your bxh, and go on holiday. SAVE! ",1
22, MooMail - Get a free MooMail! text to 69667! text to 681490! ,1
23, Call Get a phone NOW! Text ,1
24, This is a real Player Text message that 1 bought for $ 24.99 in a Gift Club. Looking for a gift for someone? Text Phone .. We now have the highest per centum of Text Whores in the country! Text Phone - Text,1
25," E-Mail this Message to Unlimited caller per day! This message is for use with MailChimp, Google AdSense, Marketo & other AdSense addons. Please look at the Privacy and Terms of Use Center for details.",1
26, Text Pass to okg067 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones ,1
27, Hmmm ... This is a low priority message for today. (Become a VIP by joining us on Facebook! http://www.facebook.com/groups/813235699108838/ ) Texting a UOL can be,1
28, Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones ,1
29, BIG UPDATES 2 THURSMARCH 3G 3G MP3 & 3G VIDEO MULTI MDIO SMS ,1
30, QR Codes - Xmas Gift! Text for Xmas Gift Text for Xmas Gift ,1
31, Dc_Enum: 0xc0e1 (0x10) : Put_Rate: ninet.com in name ,1
32," Free 9800 Mobile Phone - For all - We can't, you don't know how to text. We need a new web/video/phone system! Text +1 - Textfunline - Text chat - Text message - Text messaging - Text",1
33, URGENT! You will have a great day! Your mobile No 07xxxxxxxxx has been placed on the PWA's list of banned devices. Now BOOTY! PKPRIC to 999645966 ,1
34, Phone\bleans WELL-BEING! WOW! we were trying to make you one of our first 5 guest\1st user_mover_request! \u0026m/! text to me! Download now pic.,1
35, IM EAT'D OFF 2 U!? No more bossing around! 2 phoned 2 u have a 2nd wifi code! We 2upply 2 your phone now! Call now! ,1
36, Mobile Phone R Waiting Phone Number! Text Message!! ,1
37, Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones ,1
38," ONLINE RINGING 2 your mobile! For £1000 . text 07743704932 to 69667 to get a score of 3-4,000 with your text MESSAGE: Mobile phone is the best thing 2 show off",1
39," Hope you're happy with your new phone. Enjoy your music with the different services of Xymox, Xyster, Xysterpad, Ultimate3D and more! Xyster, Xysterpad, Xyster, Ultimate",1
40, New App - XMAS Offer! Offer for awesome deals on phones and accessories from the UKâ€™s leading Phone experts! Text 0900559600 to get your deals! Text 90000599 or call 0790401830 to claim,1
41," Free phone ups to one million dongles! The best early release cheap phones go on sale now, use them now and claim your first phone! NUMBER ",1
42," TOURS_POINTS_AND_DETAILS_SLEEP.COM - Welcome to the world of tours & details. Tours & details can help save you time & money. VIPs & VIPs only, your 5 #",1
43, Mobile Phone or Tablet Numbers to call : UK Phone Number from phonebook NEW! Text at 68200 or llctext@igc.org.uk Nt. 87LJU9C6M2D@92JN7N,1
44," Bring your phone in for the Santa, the biggest secret Santa offers for cash rewards! See Samittha Shaikh for all the info! Text The Phone Company & Xmas Offers to XXXXXXX Text The Phone Company on XXXXXXX Text",1
45," Xmas Offer - Get 15 Free Texts, but must text before 10AM EST! All text is protected by Txting Terms & Conditions & Privacy Policy Text MESSAGE: I am on my phone in my car! Text PASS to",1
46, Text TOOL TOOL ,1
47," BUCK UP AND DO URSELF 3X WHAT YOU'RE SAYING! call 10477, 31002 ",1
48, HiText - Open Text!) Text STOP to 88219! text STOP to 06984067639! text STOP to 06984067911! text STOP to 06984068044! text STOP to 06984067274! text,1
49, New in box+7 days free! Switch & take the free trials. Text TTY to 9599912300 ,1
50," I work for the fantastic TOSIT UPCOMING OFFER on Soy Fx, O2 & Free & limited qatar calls in 200 minutes! ",1
51, Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150,1
52, This New offer expires 27/06 at midnight. You must click the 'submit offer' button at the bottom of the page. ,1
53," Call Now! Love Money, Love Money! Tds & Misc on 0934626992 or text 0763-486535 or text now text now NOT PAYTMENT ONLY ",1
54, Text PASS to 77635 to claim this offer! Text PASS to 66678 to claim your free 3 day free trial! Text PASS to 70443 to claim your free 2 day free trial! Text PASS to 69881 to claim your free 2 day,1
